idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
19,472,353,642,348,170,-5,170.07351351694948,178.31531568210372,0,557.0,350.5,-1,0.5439453125,0.5991452991452991
20,434,424,791,424,357,0,357.0,0.0,0,612.5,424.0,-1,0.59814453125,0.7247863247863248
21,85,516,195,518,110,2,110.01818031580054,1.0416266760099742,0,140.0,517.0,-1,0.13671875,0.8837606837606837
22,513,559,534,360,21,-199,200.10497245196083,96.02399308231962,2,523.5,459.5,-1,0.51123046875,0.7854700854700855
23,916,577,1018,578,102,1,102.00490184299969,0.561705332566547,0,967.0,577.5,-1,0.9443359375,0.9871794871794872
24,665,348,900,489,235,141,274.05473905772914,30.96375653207352,1,782.5,418.5,-1,0.76416015625,0.7153846153846154
25,773,561,871,561,98,0,98.0,0.0,0,822.0,561.0,-1,0.802734375,0.958974358974359
26,646,348,770,438,124,90,153.21879780235844,35.97238704928491,1,708.0,393.0,-1,0.69140625,0.6717948717948717
27,873,558,960,558,87,0,87.0,0.0,0,916.5,558.0,-1,0.89501953125,0.9538461538461539
28,900,490,1018,561,118,71,137.71347065556077,31.035108649002684,1,959.0,525.5,-1,0.9365234375,0.8982905982905983
29,359,367,576,367,217,0,217.0,0.0,0,467.5,367.0,-1,0.45654296875,0.6273504273504273
30,432,381,568,381,136,0,136.0,0.0,0,500.0,381.0,-1,0.48828125,0.6512820512820513
31,82,556,119,533,37,-23,43.56604182158393,148.13402230639633,2,100.5,544.5,-1,0.09814453125,0.9307692307692308
32,819,575,940,571,121,-4,121.06609764917675,178.10661415425372,0,879.5,573.0,-1,0.85888671875,0.9794871794871794
33,151,555,221,556,70,1,70.00714249274856,0.8184554616886145,0,186.0,555.5,-1,0.181640625,0.9495726495726495
34,943,573,1017,576,74,3,74.06078584514209,2.3215305898327188,0,980.0,574.5,-1,0.95703125,0.982051282051282
35,895,556,990,557,95,1,95.00526301210897,0.6030911943805325,0,942.5,556.5,-1,0.92041015625,0.9512820512820512
