idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
20,77,519,535,527,458,8,458.0698636671048,1.0006978778588334,0,306.0,523.0,-1,0.298828125,0.8940170940170941
21,256,422,638,422,382,0,382.0,0.0,0,447.0,422.0,-1,0.4365234375,0.7213675213675214
22,248,426,797,426,549,0,549.0,0.0,0,522.5,426.0,-1,0.51025390625,0.7282051282051282
23,183,496,415,351,232,-145,273.5854528296415,147.9946167919165,0,299.0,423.5,-1,0.2919921875,0.7239316239316239
24,894,530,969,531,75,1,75.0066663703967,0.763898460929995,0,931.5,530.5,-1,0.90966796875,0.9068376068376068
25,192,555,237,555,45,0,45.0,0.0,0,214.5,555.0,-1,0.20947265625,0.9487179487179487
26,512,561,534,351,22,-210,211.1492363235065,95.98059952476345,1,523.0,456.0,-1,0.5107421875,0.7794871794871795
27,334,424,433,424,99,0,99.0,0.0,0,383.5,424.0,-1,0.37451171875,0.7247863247863248
28,610,523,780,521,170,-2,170.01176429882727,179.3259631020155,0,695.0,522.0,-1,0.6787109375,0.8923076923076924
29,254,423,718,423,464,0,464.0,0.0,0,486.0,423.0,-1,0.474609375,0.7230769230769231
30,872,557,1023,557,151,0,151.0,0.0,0,947.5,557.0,-1,0.92529296875,0.9521367521367521
31,498,523,655,525,157,2,157.01273833673497,0.7298430640241027,0,576.5,524.0,-1,0.56298828125,0.8957264957264958
32,227,440,394,351,167,-89,189.2353032602532,151.94532337737914,0,310.5,395.5,-1,0.30322265625,0.6760683760683761
33,518,561,533,351,15,-210,210.535032714273,94.08561677997487,1,525.5,456.0,-1,0.51318359375,0.7794871794871795
34,732,524,887,522,155,-2,155.0129026887762,179.26074064459215,0,809.5,523.0,-1,0.79052734375,0.8940170940170941
35,663,348,1018,561,355,213,413.9975845340163,30.96375653207352,1,840.5,454.5,-1,0.82080078125,0.7769230769230769
36,14,554,129,556,115,2,115.0173899895142,0.9963478965049255,0,71.5,555.0,-1,0.06982421875,0.9487179487179487
37,450,527,934,519,484,-8,484.06611118730467,179.05304855322655,0,692.0,523.0,-1,0.67578125,0.8940170940170941
38,448,352,679,352,231,0,231.0,0.0,0,563.5,352.0,-1,0.55029296875,0.6017094017094017
39,355,371,588,366,233,-5,233.05364189387817,178.77066551352212,0,471.5,368.5,-1,0.46044921875,0.6299145299145299
40,819,575,1002,578,183,3,183.02458851203573,0.9391909457355799,0,910.5,576.5,-1,0.88916015625,0.9854700854700855
41,944,574,982,574,38,0,38.0,0.0,0,963.0,574.0,-1,0.9404296875,0.9811965811965812
42,730,422,797,423,67,1,67.00746227100382,0.8550973962667232,0,763.5,422.5,-1,0.74560546875,0.7222222222222222
43,381,368,692,363,311,-5,311.0401903291599,179.0789253414494,0,536.5,365.5,-1,0.52392578125,0.6247863247863248
44,91,555,189,554,98,-1,98.00510190801293,179.4153694792948,0,140.0,554.5,-1,0.13671875,0.9478632478632478
45,52,532,130,531,78,-1,78.00640999302557,179.2654789657452,0,91.0,531.5,-1,0.0888671875,0.9085470085470085
46,565,523,666,522,101,-1,101.00495037373169,179.43273359014208,0,615.5,522.5,-1,0.60107421875,0.8931623931623932
47,786,446,819,470,33,24,40.80441152620633,36.02737338510361,1,802.5,458.0,-1,0.78369140625,0.7829059829059829
48,839,574,940,571,101,-3,101.04454463255303,178.29864539467388,0,889.5,572.5,-1,0.86865234375,0.9786324786324786
49,177,468,317,388,140,-80,161.24515496597098,150.25511870305778,0,247.0,428.0,-1,0.2412109375,0.7316239316239316
50,16,552,130,552,114,0,114.0,0.0,0,73.0,552.0,-1,0.0712890625,0.9435897435897436
51,239,558,346,557,107,-1,107.00467279516349,179.46454101443547,0,292.5,557.5,-1,0.28564453125,0.9529914529914529
52,553,424,798,424,245,0,245.0,0.0,0,675.5,424.0,-1,0.65966796875,0.7247863247863248
53,519,561,533,357,14,-204,204.47982785595258,93.92590770368398,1,526.0,459.0,-1,0.513671875,0.7846153846153846
54,677,351,807,429,130,78,151.6047492659778,30.96375653207352,1,742.0,390.0,-1,0.724609375,0.6666666666666666
55,846,523,948,522,102,-1,102.00490184299969,179.43829466743344,0,897.0,522.5,-1,0.8759765625,0.8931623931623932
56,108,545,163,510,55,-35,65.19202405202648,147.52880770915152,0,135.5,527.5,-1,0.13232421875,0.9017094017094017
57,448,419,608,419,160,0,160.0,0.0,0,528.0,419.0,-1,0.515625,0.7162393162393162
58,776,558,871,558,95,0,95.0,0.0,0,823.5,558.0,-1,0.80419921875,0.9538461538461539
59,14,553,151,553,137,0,137.0,0.0,0,82.5,553.0,-1,0.08056640625,0.9452991452991453
60,658,357,925,544,267,187,325.9723914689709,35.00641974073177,1,791.5,450.5,-1,0.77294921875,0.7700854700854701
61,667,348,831,447,164,99,191.56461051039673,31.117639186726453,1,749.0,397.5,-1,0.7314453125,0.6794871794871795
62,521,472,527,353,6,-119,119.15116449284078,92.88641854386461,1,524.0,412.5,-1,0.51171875,0.7051282051282052
63,447,420,636,420,189,0,189.0,0.0,0,541.5,420.0,-1,0.52880859375,0.717948717948718
64,445,421,637,421,192,0,192.0,0.0,0,541.0,421.0,-1,0.5283203125,0.7196581196581197
65,438,428,662,428,224,0,224.0,0.0,0,550.0,428.0,-1,0.537109375,0.7316239316239316
66,826,442,1011,553,185,111,215.74522010927612,30.96375653207352,1,918.5,497.5,-1,0.89697265625,0.8504273504273504
67,359,427,663,427,304,0,304.0,0.0,0,511.0,427.0,-1,0.4990234375,0.7299145299145299
68,859,575,1001,575,142,0,142.0,0.0,0,930.0,575.0,-1,0.908203125,0.9829059829059829
